message,severity,attributes,tags,timestamp
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:831) ~[spring-webmvc-6.1.14.jar!/:6.1.14],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.135384398Z
	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87) ~[spring-webmvc-6.1.14.jar!/:6.1.14],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.135388234Z
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1089) ~[spring-webmvc-6.1.14.jar!/:6.1.14],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.135392093Z
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:979) ~[spring-webmvc-6.1.14.jar!/:6.1.14],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.135396566Z
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1014) ~[spring-webmvc-6.1.14.jar!/:6.1.14],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.135400814Z
	at org.springframework.web.servlet.FrameworkServlet.doGet(FrameworkServlet.java:903) ~[spring-webmvc-6.1.14.jar!/:6.1.14],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.135404750Z
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:564) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.135408608Z
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:885) ~[spring-webmvc-6.1.14.jar!/:6.1.14],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.137059438Z
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:658) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.137067684Z
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:195) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.137073042Z
